Kategorie,Produkt,Preis
fleisch-und-fisch,ARLBERGER Knabbersticks,"€ 1,79"
fleisch-und-fisch,BBQ Bratwürstel roh,"€ 3,99"
fleisch-und-fisch,"BBQ Grillspezialitäten, Alm Griller","€ 2,99"
fleisch-und-fisch,"BBQ Grillspezialitäten, BBQ Griller","€ 2,99"
fleisch-und-fisch,"BBQ Grillspezialitäten, scharfe Griller","€ 2,99"
fleisch-und-fisch,"BEEF ROYAL Rinder-Hüftsteak, Natur","€ 22,99"
fleisch-und-fisch,"BEEF ROYAL Rinder-Pfeffersteak, Pfeffer","€ 22,99"
fleisch-und-fisch,BIO NATURA BIO-Garnelen,"€ 3,49"
fleisch-und-fisch,"FAIR HOF Streichwurst, Preiselbeere","€ 1,99"
fleisch-und-fisch,"FAIR HOF Streichwurst, Sahne","€ 1,99"
fleisch-und-fisch,"FAIR HOF Streichwurst, Zwiebel","€ 1,99"
fleisch-und-fisch,FairHOF Chicken Wings,"€ 4,69"
fleisch-und-fisch,FairHOF Geschnetzeltes,"€ 4,29"
fleisch-und-fisch,FairHOF Grammeln,"€ 2,39"
fleisch-und-fisch,"FairHOF Grill-Mix, Hüft-Steaks","€ 11,99"
fleisch-und-fisch,"FairHOF Grill-Mix, Schlögel-Steaks","€ 11,99"
fleisch-und-fisch,"FairHOF Grill-Mix, Schulter-Steaks","€ 11,99"
fleisch-und-fisch,"FairHOF Grillfleisch mild, Bauch","€ 4,49"
fleisch-und-fisch,"FairHOF Grillfleisch mild, Karree","€ 4,49"
fleisch-und-fisch,"FairHOF Grillfleisch mild, Schopf","€ 4,49"
fleisch-und-fisch,"FairHOF Hühnerkeulen, Gewürzt, Oberkeulen","€ 3,79"
fleisch-und-fisch,"FairHOF Hühnerkeulen, Gewürzt, Unterkeulen","€ 3,79"
fleisch-und-fisch,"FairHOF Hühnerkeulen, Natur, Oberkeulen","€ 3,79"
fleisch-und-fisch,"FairHOF Hühnerkeulen, Natur, Unterkeulen","€ 3,79"
fleisch-und-fisch,FairHOF Keulenschnitzel,"€ 4,29"
fleisch-und-fisch,FairHOF Maishendlfilet,"€ 14,99"
fleisch-und-fisch,FairHOF Putenbrustfilet,"€ 15,99"
fleisch-und-fisch,FairHOF Schweineschmalz im Becher,"€ 3,29"
fleisch-und-fisch,"FairHOF Selchfleisch, Bauch","€ 12,99"
fleisch-und-fisch,"FairHOF Selchfleisch, Schopf","€ 12,99"
fleisch-und-fisch,"FairHOF Selchfleisch, Schulter","€ 12,99"
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH Bauchspeck,"€ 3,99"
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH Bauchstreifen unmariniert,"€ 8,99"
fleisch-und-fisch,"GENUSS 100% AUS ÖSTERREICH Bernerwürstel, Klassik","€ 4,49"
fleisch-und-fisch,"GENUSS 100% AUS ÖSTERREICH Bernerwürstel, Mailänder","€ 4,49"
fleisch-und-fisch,"GENUSS 100% AUS ÖSTERREICH Bernerwürstel, Mini-Berner","€ 4,49"
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH Braunschweiger,"€ 3,79"
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH Cevapcici,"€ 3,77"
fleisch-und-fisch,GENUSS 100% AUS ÖSTERREICH Faschiertes gemischt,"€ 7,99"
